position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
23	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	LvyAzZSCOrc	2018-11-26T23:54:44.000Z	2018-11-26 23:54:44	LIVE: President Trump in Tupelo, MS	Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Tupelo, MS! Great crowd for a #MAGA rally!	25	News & Politics	PT46M3S	2763	2d	hd	false		25533	1109	144	0	336
24	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	Z3KW869TSL0	2018-11-06T05:26:11.000Z	2018-11-06 05:26:11	LIVE: President Trump in Cape Girardeau, MO	Find your polling location @ vote.donaldjtrump.com Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Cape Girardeau, MO! Great crowd for a #MAGA rally!	25	News & Politics	PT1H24M55S	1495	2d	hd	false		39713	1572	136	0	405
25	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	AEpsxjLETkQ	2018-11-06T01:06:52.000Z	2018-11-06 01:06:52	LIVE: President Trump in Fort Wayne, IN	Sign up to vote @ vote.donaldjtrump.com Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Fort Wayne, IN! Great crowd for a #MAGA rally!	25	News & Politics	PT1H8M52S	532	2d	hd	false		35663	1482	120	0	216
26	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	PDWbvWfFj4E	2018-11-05T01:52:16.000Z	2018-11-05 01:52:16	LIVE: President Trump in Chattanooga, TN	Sign up to vote @ vote.donaldjtrump.com Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Chattanooga, TN! Great crowd for a #MAGA rally!	25	News & Politics	PT59M51S	3591	2d	hd	false		61795	2361	110	0	326
27	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	QeYyLho2bnQ	2018-11-04T22:52:46.000Z	2018-11-04 22:52:46	LIVE: President Trump in Macon, GA	Sign up to vote @ vote.donaldjtrump.com Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Macon, GA! Great crowd for a #MAGA rally!	25	News & Politics	PT1H11M7S	667	2d	hd	false		66026	2118	132	0	211
28	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	vEwJwLUZjyU	2018-11-04T01:38:39.000Z	2018-11-04 01:38:39	LIVE: President Trump in Pensacola, FL	Sign up to vote @ vote.donaldjtrump.com Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Pensacola, FL! Great crowd for a #MAGA rally!	25	News & Politics	PT1H25M26S	1526	2d	hd	false		51430	1869	106	0	303
29	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	ZCgKt7ZCEUY	2018-11-03T01:07:33.000Z	2018-11-03 01:07:33	LIVE: President Trump in Indianapolis, IN	Sign up to vote @ vote.donaldjtrump.com Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Indianapolis, IN! Great crowd for a #MAGA rally!	25	News & Politics	PT49M1S	2941	2d	hd	false		36675	1355	68	0	261
30	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	Bw0WRGkxi7I	2018-11-02T23:46:25.000Z	2018-11-02 23:46:25	LIVE: President Trump in Indianapolis, IN	Sign up to vote @ vote.donaldjtrump.com Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Indianapolis, IN! Great crowd for a #MAGA rally!	25	News & Politics	PT19M28S	1168	2d	hd	false		14081	589	34	0	99
31	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	imluGUa6YEo	2018-11-02T21:56:33.000Z	2018-11-02 21:56:33	LIVE: President Trump in Huntington, WV	Sign up to vote @ vote.donaldjtrump.com Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Huntington, WV! Great crowd for a #MAGA rally!	25	News & Politics	PT55M54S	3354	2d	hd	false		43299	1565	74	0	272
32	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	QfV9mw42dvs	2018-11-02T01:57:57.000Z	2018-11-02 01:57:57	LIVE: President Trump in Columbia, MO	Sign up to vote @ vote.donaldjtrump.com Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Columbia, MO! Great crowd for a #MAGA rally!	25	News & Politics	PT1H13M10S	790	2d	hd	false		59558	2170	97	0	367
33	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	PsBQNfI-Dxw	2018-10-29T12:45:10.000Z	2018-10-29 12:45:10	We Can't Go Back	Things are getting better - we can't go back! Learn how to vote now at: https://vote.donaldjtrump.com/ This dramatic, high-quality ad depicts the new optimism of a working mom and the very real way that the future of her family is at stake in this election. The ad offers a vivid warning that only by electing Republicans on November 6 can we ‘choose the right future’ for our children. It speaks to all Americans to get out and vote for the GOP so President Trump’s booming economy and inspirational changes for hard working American families can continue in the long run. Sign-up for campaign updates: Text TRUMP to 88022	25	News & Politics	PT1M2S	62	2d	hd	false		1912364	4144	1251	0	1239
34	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	B1iI8AMLGiI	2018-11-01T01:09:18.000Z	2018-11-01 01:09:18	LIVE: President Trump in Fort Myers, FL	Sign up to vote @ vote.donaldjtrump.com Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Fort Myers, FL! Great crowd for a #MAGA rally!	25	News & Politics	PT57M3S	3423	2d	hd	false		66423	2517	133	0	687
35	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	YdeaPEP5K9k	2018-10-28T00:10:55.000Z	2018-10-28 00:10:55	LIVE: President Trump in Murphysboro, IL	Sign up to vote @ vote.donaldjtrump.com Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Murphysboro, IL! Great crowd for a #MAGA rally!	25	News & Politics	PT1H10M56S	656	2d	hd	false		53630	2109	109	0	501
36	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	0Gl_Fl4KvHk	2018-10-27T01:08:13.000Z	2018-10-27 01:08:13	LIVE: President Trump in Charlotte, NC	Sign up to vote @ vote.donaldjtrump.com Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Charlotte, NC! Great crowd for a #MAGA rally!	25	News & Politics	PT1H11M56S	716	2d	hd	false		48741	1726	78	0	370
37	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	LrCHIJr4pmE	2018-10-25T01:57:40.000Z	2018-10-25 01:57:40	LIVE: President Trump in Mosinee, WI	Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Mosinee, WI! Great crowd for a #MAGA rally!	25	News & Politics	PT1H20M6S	1206	2d	hd	false		62328	2300	73	0	544
38	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	2IlvPU2-BIM	2018-10-23T01:59:24.000Z	2018-10-23 01:59:24	LIVE: President Trump in Houston, TX	Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Houston, TX! Great crowd for a #MAGA rally!	25	News & Politics	PT1H20M40S	1240	2d	hd	false		61971	2535	91	0	731
39	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	QiXLiyjxntg	2018-10-22T21:29:41.000Z	2018-10-22 21:29:41	WATCH: BIG Texas Tailgater	Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Texas is big and so will be the turnout for our MAGA rally TONIGHT!	25	News & Politics	PT34M25S	2065	2d	hd	false		28539	1493	53	0	185
40	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	9PT6KJxYdnQ	2018-10-20T03:19:17.000Z	2018-10-20 03:19:17	LIVE: President Trump in Mesa, AZ	Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Mesa, AZ! Great crowd for a #MAGA rally!	25	News & Politics	PT55M30S	3330	2d	hd	false		98983	3166	126	0	980
41	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	rdHg1SIngPs	2018-10-16T16:04:57.000Z	2018-10-16 16:04:57	Weekly Update 09.14.18	This was another truly historic week for our country!	25	News & Politics	PT3M37S	217	2d	hd	false		4196	398	38	0	154
42	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	U6OPcaMMQyQ	2018-10-19T02:23:10.000Z	2018-10-19 02:23:10	LIVE: President Trump in Missoula, MT	Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Missoula, MT! Great crowd for a #MAGA rally!	25	News & Politics	PT1H13M44S	824	2d	hd	false		101325	3004	288	0	658
43	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	naiRdSkaVpk	2018-10-14T01:09:07.000Z	2018-10-14 01:09:07	LIVE: President Trump in Richmond, KY	Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Richmond, KY! Great crowd for a #MAGA rally!	25	News & Politics	PT1H7M56S	476	2d	hd	false		77429	2508	193	0	516
44	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	zWICNmMVhLs	2018-10-13T00:47:25.000Z	2018-10-13 00:47:25	LIVE: President Trump in Lebanon, OH	Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Lebanon, OH! Great crowd for a #MAGA rally!	25	News & Politics	PT1H9M2S	542	2d	hd	false		73268	2538	81	0	835
45	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	cln_VNkl688	2018-10-11T00:51:31.000Z	2018-10-11 00:51:31	LIVE: President Trump in Erie, PA	Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Erie, PA! Great crowd for a #MAGA rally!	25	News & Politics	PT1H6M29S	389	2d	hd	false		85690	2676	112	0	674
46	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	6qXguJR6gtc	2018-10-07T15:05:59.000Z	2018-10-07 15:05:59	Hurricane Florence Relief	It’s heartbreaking to see the devastation and destruction in person. The selfless actions of relief workers is awe-inspiring, but the charities and nonprofits on the front lines of this crisis need our support and prayers more than ever.	25	News & Politics	PT4M50S	290	2d	hd	false		3214	397	32	0	78
47	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	yGfh4eLgKYw	2018-10-10T01:37:50.000Z	2018-10-10 01:37:50	LIVE: President Trump in Council Bluffs, IA	Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Council Bluffs, IA! Great crowd for a #MAGA rally!	25	News & Politics	PT1H18M33S	1113	2d	hd	false		85920	2694	127	0	552
48	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	vWCt3fcQqgM	2018-10-07T01:21:26.000Z	2018-10-07 01:21:26	LIVE: President Trump in Topeka. KS	Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Topeka, KS Great crowd for a #MAGA rally!	25	News & Politics	PT1H14M6S	846	2d	hd	false		64267	2357	91	0	704
49	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	G_KNy7bdc80	2018-10-05T01:28:10.000Z	2018-10-05 01:28:10	LIVE: President Trump in Rochester, MN	Join President Trump LIVE in Rochester, MN! Great crowd for a #MAGA rally! Stay up-to-date with the campaign and sign-up for mobile updates: Text TRUMP to 88022	25	News & Politics	PT1H12M9S	729	2d	hd	false		64147	2146	154	0	424
50	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	ERBrM-dp3s8	2018-10-02T14:31:40.000Z	2018-10-02 14:31:40	Weekly Update 09.29.18	In everything we do, we are standing up for AMERICA and for the American people.	25	News & Politics	PT3M7S	187	2d	hd	false		3066	312	21	0	68
51	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	CxZWwZv5KJ0	2018-10-03T02:01:24.000Z	2018-10-03 02:01:24	President Trump in Southaven, MS	Join President Trump LIVE in Southaven, MS! Great crowd for a #MAGA rally! Stay up-to-date with the campaign and sign-up for mobile updates: Text TRUMP to 88022	25	News & Politics	PT1H16M22S	982	2d	hd	false		48000	1892	89	0	347
52	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	Y2y1vL-5Bjo	2018-10-02T00:55:39.000Z	2018-10-02 00:55:39	President Trump in Johnson City, TN	Join President Trump LIVE in Johnson City, TN! Great crowd for a #MAGA rally! Stay up-to-date with the campaign and sign-up for mobile updates: Text TRUMP to 88022	25	News & Politics	PT1H2M10S	130	2d	hd	false		46708	1877	82	0	413
53	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	zadoLISk838	2018-09-30T01:29:33.000Z	2018-09-30 01:29:33	President Trump in Wheeling, WV	Join President Trump LIVE in Wheeling, WV! Great crowd for a #MAGA rally! Stay up-to-date with the campaign and sign-up for mobile updates: Text TRUMP to 88022	25	News & Politics	PT1H24M28S	1468	2d	hd	false		39175	1655	56	0	482
54	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	lxHs6Nniq3o	2018-09-22T01:34:09.000Z	2018-09-22 01:34:09	President Trump in Springfield, MO	Join President Trump LIVE in Springfield, MO! Great crowd for a #MAGA rally! Stay up-to-date with the campaign and sign-up for mobile updates: Text TRUMP to 88022	25	News & Politics	PT1H11M42S	702	2d	hd	false		26743	1389	62	0	409
55	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	8f7HXrgbLoY	2018-09-18T22:11:57.000Z	2018-09-18 22:11:57	Weekly Update 9.13.18	We must remain vigilant to keep America SAFE.	25	News & Politics	PT3M25S	205	2d	hd	false		2827	315	23	0	71
56	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	Me4m2UtMpnA	2018-09-11T13:02:17.000Z	2018-09-11 13:02:17	Weekly Update 09.08.18	Our country is thriving, jobs are booming, and prosperity is soaring. The future of America has never looked brighter!	25	News & Politics	PT3M3S	183	2d	hd	false		2535	298	15	0	88
57	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	ru02IBk5vGQ	2018-09-21T04:04:44.000Z	2018-09-21 04:04:44	President Trump in Las Vegas, NV	Join President Trump LIVE in Las Vegas, NV! Great crowd for a #MAGA rally!	25	News & Politics	PT1H1M4S	64	2d	hd	false		15527	925	44	0	184
58	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	9FB55ZOaboQ	2018-09-05T14:26:01.000Z	2018-09-05 14:26:01	Weekly Update 09.01.18	Just this week, we made another truly historic announcement: We are replacing NAFTA with a beautiful, brand new U.S.-Mexico trade deal.	25	News & Politics	PT3M5S	185	2d	hd	false		4096	350	24	0	79
59	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	N9tNgogi5z8	2018-09-07T03:10:23.000Z	2018-09-07 03:10:23	President Trump in Billings, MT		25	News & Politics	PT1H18M2S	1082	2d	hd	false		15291	949	64	0	196
60	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	qB-b2WB48Ck	2018-08-27T13:13:42.000Z	2018-08-27 13:13:42	Weekly Update 08.25.18	Watch this week’s REAL news to learn how I am fighting for you like no president ever has before!	25	News & Politics	PT3M40S	220	2d	hd	false		2780	339	24	0	90
61	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	o8ucwv8NGa8	2018-08-23T12:29:48.000Z	2018-08-23 12:29:48	The American Public Demand An Apology		25	News & Politics	PT39S	39	2d	hd	false		3932	596	37	0	142
62	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	i88vDLTk9PM	2018-08-31T02:20:48.000Z	2018-08-31 02:20:48	President Trump in Evansville, INDIANA		25	News & Politics	PT1H17M1S	1021	2d	hd	false		13609	847	76	0	196
63	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	KzgVIcY3wbY	2018-08-14T13:14:24.000Z	2018-08-14 13:14:24	Weekly Update 08.11.18	If we want to keep winning and continue all the incredible progress we’ve made, then there’s only one thing to do: KEEP FIGHTING!	25	News & Politics	PT2M47S	167	2d	hd	false		2891	301	18	0	88
64	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	vE10v4sOzqc	2018-08-22T01:16:04.000Z	2018-08-22 01:16:04	Charleston, WV Trump Rally		25	News & Politics	PT1H19M10S	1150	2d	hd	false		8773	659	41	0	159
65	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	g4UfCp6z0L8	2018-08-05T01:01:54.000Z	2018-08-05 01:01:54	Lewis Center, OH Trump Rally		25	News & Politics	PT1H11M53S	713	2d	hd	false		15143	940	98	0	158
66	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	8mrSzZhE0k8	2018-08-03T01:10:14.000Z	2018-08-03 01:10:14	Wilkes-Barre, PA Trump Rally		25	News & Politics	PT1H23M54S	1434	2d	hd	false		6623	628	39	0	67
67	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	NaA8dQdImUQ	2018-07-30T13:17:14.000Z	2018-07-30 13:17:14	Weekly Update 07.28.18	Job openings outnumber job seekers for the first time in history. AMERICA IS OPEN FOR BUSINESS!	25	News & Politics	PT3M9S	189	2d	hd	false		1673	228	10	0	59
68	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	G8i6tCr79RU	2018-07-23T18:31:43.000Z	2018-07-23 18:31:43	Weekly Update 07.21.18	NATO is paying their fair share and nobody has been tougher on Russia than me. Big results will come!	25	News & Politics	PT2M49S	169	2d	hd	false		3055	304	23	0	102
69	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	tMSEFsKeCxk	2018-07-19T12:19:21.000Z	2018-07-19 12:19:21	Weekly Update 07.14.18	This week we nominated an incredible Supreme Court Justice, made tremendous progress at NATO, and got another strong jobs report. Great things are happening!	25	News & Politics	PT3M16S	196	2d	hd	false		1704	209	21	0	81
70	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	PUDW8Fbld64	2018-08-01T00:59:02.000Z	2018-08-01 00:59:02	Tampa, FL Trump Rally		25	News & Politics	PT1H9M9S	549	2d	hd	false		7588	664	31	0	115
71	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	F3uPx9ykptA	2018-07-02T13:01:33.000Z	2018-07-02 13:01:33	Weekly Update 06.30.18	In everything we do, we are standing up for our citizens and we are standing up for AMERICA. That is how we will continue to Make America Great Again!	25	News & Politics	PT3M5S	185	2d	hd	false		2458	290	18	0	120
72	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	eipQSdH3SzY	2018-07-06T00:21:22.000Z	2018-07-06 00:21:22	Great Falls, MT Trump Rally		25	News & Politics	PT1H15M21S	921	2d	hd	false		8744	618	73	0	192
73	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	Z3IYo3X-dpI	2018-06-26T14:05:22.000Z	2018-06-26 14:05:22	Weekly Update 06.23.18	We will not rest until our border is SECURE, our citizens are SAFE, and we finally end the immigration crisis once and for all.	25	News & Politics	PT2M49S	169	2d	hd	false		1693	205	15	0	50
74	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	H3uy_72-dcw	2018-06-28T02:01:00.000Z	2018-06-28 02:01:00	Fargo, ND Trump Rally		25	News & Politics	PT1H13M25S	805	2d	hd	false		7143	647	51	0	35
75	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	nIofX0DyR9o	2018-06-18T14:33:56.000Z	2018-06-18 14:33:56	Weekly Update 06.17.18	This was a huge week on the world stage. American leadership is back! Watch for more.	25	News & Politics	PT3M51S	231	2d	hd	false		2705	294	20	0	80
76	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	0-MD-guBOEs	2018-06-12T13:43:46.000Z	2018-06-12 13:43:46	Weekly Update 06.08.18	This week marked my 500th day in office, and I’m still not tired of winning!	25	News & Politics	PT2M51S	171	2d	hd	false		2149	292	16	0	109
77	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	bK_K9kWSEpI	2018-06-21T01:33:45.000Z	2018-06-21 01:33:45	Duluth, MN Trump Rally		25	News & Politics	PT1H26M46S	1606	2d	hd	false		5887	611	37	0	57
78	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	7RQsbnprnx8	2018-05-29T12:15:27.000Z	2018-05-29 12:15:27	Weekly Update 05.29.18	I will not rest until the world is safe from a nuclearized North Korea.	25	News & Politics	PT3M12S	192	2d	hd	false		2229	252	14	0	118
79	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	fVys3Nw-QjI	2018-05-22T13:14:13.000Z	2018-05-22 13:14:13	Weekly Update 05.19.18	I will always stand by our allies, stand up for our law enforcement, and stand with the American people.	25	News & Politics	PT2M38S	158	2d	hd	false		1858	224	33	0	87
80	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	IDR1u9XEdCk	2018-05-16T13:36:24.000Z	2018-05-16 13:36:24	Weekly Update 05.12.18	We’ve accomplished more in one week than others accomplish in one year — exited the Iran Deal, brought three Americans home from North Korea, and the new U.S. embassy is opening in Jerusalem. WINNING!	25	News & Politics	PT2M55S	175	2d	hd	false		1507	220	21	0	62
81	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	XikKbbnCaA8	2018-05-30T02:01:49.000Z	2018-05-30 02:01:49	Nashville, TN Trump Rally		25	News & Politics	PT2H10M33S	633	2d	hd	false		5988	486	30	0	108
82	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	ls3EXflyE-8	2018-05-09T12:55:32.000Z	2018-05-09 12:55:32	Trump Tax Cuts Provide “Shortway” to Success	I cut taxes so small businesses like Shortway Brewing Co. can grow and prosper. This is what the American dream is all about — people who work hard, dream big, and never give up! It’s incredible to see what a difference our tax cuts are making in people’s lives.	25	News & Politics	PT2M44S	164	2d	hd	false		23295	485	237	0	469
83	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	FzGggVy1u2A	2018-05-07T12:40:48.000Z	2018-05-07 12:40:48	Weekly Update 05.05.18	Between the incredible new jobs report and great progress we're making with North Korea, a lot of good things will be happening in the next short period of time. WATCH.	25	News & Politics	PT2M49S	169	2d	hd	false		2458	281	13	0	57
84	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	KxXoAWGRvpc	2018-04-30T15:26:22.000Z	2018-04-30 15:26:22	Weekly Update 4.29.18	Every week we continue to accomplish incredible things for our GREAT country. Watch for more on this week’s REAL news.	25	News & Politics	PT3M35S	215	2d	hd	false		2718	246	17	0	63
85	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	CmCD2ZiBPCM	2018-05-11T01:29:59.000Z	2018-05-11 01:29:59	Donald J. Trump for President Live Stream		25	News & Politics	PT1H13M18S	798	2d	hd	false		2633	281	11	0	0
86	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	jXQinCIQ1mY	2018-04-25T15:58:27.000Z	2018-04-25 15:58:27	Weekly Update 04.21.18	Another week of Promises Made, Promises Kept. Watch this week's REAL news!	25	News & Politics	PT3M19S	199	2d	hd	false		2362	237	15	0	87
87	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	SbPe3KA6qnk	2018-04-16T12:10:09.000Z	2018-04-16 12:10:09	Weekly Update 04.15.18		25	News & Politics	PT3M37S	217	2d	hd	false		2535	290	41	0	151
88	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	OKuidXbrHTY	2018-04-03T12:32:24.000Z	2018-04-03 12:32:24	Weekly Update 03.31.18	Watch this week's REAL NEWS!	25	News & Politics	PT2M53S	173	2d	hd	false		2702	257	30	0	116
89	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	I96cjqm7Juo	2018-03-26T15:49:30.000Z	2018-03-26 15:49:30	Weekly Update 03.26.18	This was a busy, but very productive week — accomplished a lot! Watch for the REAL news.	25	News & Politics	PT2M46S	166	2d	hd	false		3192	271	19	0	106
90	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	0hYRxayhdGM	2018-03-19T12:32:34.000Z	2018-03-19 12:32:34	Weekly Update 3.17.19		25	News & Politics	PT2M39S	159	2d	hd	false		3053	250	22	0	89
91	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	XFbxmte1Xw4	2018-03-14T16:24:12.000Z	2018-03-14 16:24:12	Weekly Update 3.10.18	We’re not letting other countries take advantage of us anymore. It’s all about jobs for our incredible workers and putting AMERICA FIRST!	25	News & Politics	PT2M50S	170	2d	hd	false		2804	258	20	0	97
92	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	Jn3xZGsuuNY	2018-03-05T13:30:34.000Z	2018-03-05 13:30:34	Weekly Update 03.03.18	I will always be committed to the American people, and I will always put AMERICA FIRST.	25	News & Politics	PT2M31S	151	2d	hd	false		2072	254	23	0	67
