position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
113	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	mC8bupBF8mY	2017-11-08T19:31:40.000Z	2017-11-08 19:31:40	Historic Day	One year ago on this HISTORIC day, we proved the Hollywood elite, D.C. politicians and political pundits all wrong. We WON — we took back OUR country and now our MOVEMENT to Make America Great Again is stronger than ever before!	25	News & Politics	PT3M	180	2d	hd	false		8280	1231	53	0	255
114	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	jETT1CRI8s0	2017-11-03T19:56:17.000Z	2017-11-03 19:56:17	Weekly Update 11.3.17	Sign up for REAL news updates and we’ll deliver the TRUTH straight to you, every week! SIGN UP HERE: https://www.donaldjtrump.com/realnews	25	News & Politics	PT2M44S	164	2d	hd	false		2541	329	31	0	146
115	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	2MlK2Ztd32I	2017-10-31T12:02:06.000Z	2017-10-31 12:02:06	PRESIDENT TRUMP WILL FIX IT	Democrats in Washington claim that the effort to repeal and replace Obamacare is dead, but they don’t understand President Trump at all. While the economy is starting to improve under the President’s leadership, and tax cuts are just around the corner, this President will not rest until he provides relief from skyrocketing premiums for hardworking American families.	25	News & Politics	PT31S	31	2d	hd	false		19841	652	152	0	223
116	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	KvVRRzr_nOM	2017-10-27T17:32:27.000Z	2017-10-27 17:32:27	Weekly Update 10.27.17	The era of economic surrender is over — we are igniting America’s middle-class miracle once again!	25	News & Politics	PT3M10S	190	2d	hd	false		2185	290	18	0	53
117	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	bGBeMy0QbRU	2017-10-23T17:50:41.000Z	2017-10-23 17:50:41	Nan Hayworth - Filibuster Reform	Our agenda has been blocked REPEATEDLY this year. If we’re going to #MAGA, the very outdated filibuster rule MUST go!	25	News & Politics	PT2M1S	121	2d	hd	false		1533	160	23	0	39
118	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	FN_IDTt_6Zg	2017-10-23T04:32:51.000Z	2017-10-23 04:32:51	Weekly Update 10.20.17		25	News & Politics	PT3M5S	185	2d	hd	false		2126	340	19	0	109
119	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	wleGtQ5dmzU	2017-10-16T23:01:50.000Z	2017-10-16 23:01:50	Dr Gina Loudon - Opioid Crisis	While traveling the country, President Trump has met so many people affected by the opioid epidemic. He is committed to tackling this problem to Make America Great Again.	25	News & Politics	PT2M27S	147	2d	hd	false		3919	254	37	0	89
120	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	8rGxpe8D-mo	2017-10-13T17:32:27.000Z	2017-10-13 17:32:27	Weekly Update 10.13.17	Tired of the Fake News and want to hear the truth? Watch for this week's REAL news!	25	News & Politics	PT3M15S	195	2d	hd	false		2459	263	42	0	88
121	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	6gOU2Z8CnzA	2017-10-10T11:47:32.000Z	2017-10-10 11:47:32	Weekly Update 10.6.17		25	News & Politics	PT3M9S	189	2d	hd	false		1662	265	19	0	73
122	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	klYXc5Wx4jE	2017-10-04T13:47:08.000Z	2017-10-04 13:47:08	Steve Rogers - Leadership		25	News & Politics	PT2M7S	127	2d	hd	false		2210	242	32	0	59
123	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	_ynuf1k17DM	2017-09-30T15:15:31.000Z	2017-09-30 15:15:31	Weekly Update 9.30.17		25	News & Politics	PT3M33S	213	2d	hd	false		2159	339	28	0	58
124	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	beCQcJCmywk	2017-09-29T17:04:41.000Z	2017-09-29 17:04:41	Hurricane Maria		25	News & Politics	PT1M49S	109	2d	hd	false		2063	274	17	0	55
125	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	plgCfg1qW7M	2017-09-25T16:34:33.000Z	2017-09-25 16:34:33	Harlan Hill - Bipartisanship	When President Trump won he sent this message to The Swamp: You will start working for the America PEOPLE. Now we must keep fighting to #MAGA!	25	News & Politics	PT1M2S	62	2d	hd	false		1732	234	21	0	37
126	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	MzBqZpejZfw	2017-09-23T12:41:47.000Z	2017-09-23 12:41:47	Joy Villa - Weekly Update 9.21.17	This week President Trump delivered the world a message of strength, unity, and patriotism. This is true American leadership. This is REAL news.	25	News & Politics	PT3M52S	232	2d	hd	false		2546	394	29	0	76
127	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	hPIKko_nhg0	2017-09-22T11:56:57.000Z	2017-09-22 11:56:57	Madison Gesiotto - Tax Reform	President Trump is a CHAMPION for the American taxpayer who knows that 30 years without major tax reform is too long. Tell your Senator and Congressman TODAY — I support President Trump’s tax plan!	25	News & Politics	PT2M32S	152	2d	hd	false		6581	391	37	0	76
128	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	BhSQtQl0AoQ	2017-09-15T13:46:21.000Z	2017-09-15 13:46:21	Weekly Update 9.15.17	This week President Trump reminded us that when Americans are in need, Americans pull together — and we are ONE country. Watch for more real news	25	News & Politics	PT3M1S	181	2d	hd	false		2950	374	44	0	83
129	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	zGkfBAS0k8o	2017-09-13T11:53:06.000Z	2017-09-13 11:53:06	Lara Trump Encourages Americans to Support Hurricane Relief	In times such as these, we see the strength and the resolve of the American spirit, and we see the kindness and courage of people nationwide…President Trump, his cabinet, and his entire administration are working closely with state and local officials and private sector organizations to help save lives, protect families, and assist those in need.	25	News & Politics	PT2M12S	132	2d	hd	false		3464	310	25	0	48
