id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgxFURP5N0_y8pne6U14AaABAg	0	0	2019-04-15 23:02:09	Patti Rodriguez	Ya baby!!!	UCSmsU14MRKCkD9k0mikF2Zg	http://www.youtube.com/channel/UCSmsU14MRKCkD9k0mikF2Zg	0		
UgxRdolQPm35UUSOzkh4AaABAg	0	2	2019-04-15 22:59:02	Allison Townes	God protect President Trump. MAGA	UCDR-RuptNJjHxMh0q5Gmr5Q	http://www.youtube.com/channel/UCDR-RuptNJjHxMh0q5Gmr5Q	0		
UgyJcOlZcEqPKIKYfdl4AaABAg	0	2	2019-04-15 22:57:46	Frog Anon	2020 landslide victory. Trump! WWG1WGA!	UCl-9jUDjZfU0LN_OUvPyQvg	http://www.youtube.com/channel/UCl-9jUDjZfU0LN_OUvPyQvg	0		
UgxLgYPEL6ipM8_eg294AaABAg	0	1	2019-04-15 22:54:10	The British Patriot	I will be anxiously waiting to hear that Donald J Trump has been elected for a second term!<br /><br />Hope my American Brothers and sisters will show up to the polls in huge numbers and bring another great victory so we can keep the Trump train rolling!<br /><br />God Bless President Trump and God Bless the USA! 🇺🇸<br /><br />6 More Years!<br /><br /><a href="http://www.youtube.com/results?search_query=%23MAGA">#MAGA</a> <a href="http://www.youtube.com/results?search_query=%23KAG">#KAG</a> <a href="http://www.youtube.com/results?search_query=%23Trump2020">#Trump2020</a>	UCeq9tbNV94HeOnpHIX7P-QA	http://www.youtube.com/channel/UCeq9tbNV94HeOnpHIX7P-QA	0		
UgxFCoQdwV_jaoJVNd14AaABAg	0	0	2019-04-15 22:54:05	Heart of Dixie	TRUMP 2020 - KAG !	UCuQ6t-xbfj6teCCos1hwwNg	http://www.youtube.com/channel/UCuQ6t-xbfj6teCCos1hwwNg	0		
UgwWCRp6Dli6_v2A02J4AaABAg	0	1	2019-04-15 22:51:51	1989HondaHawk	Please close the boarder!!!!!	UC1U0ByBvxSfyMKOCg3mAwng	http://www.youtube.com/channel/UC1U0ByBvxSfyMKOCg3mAwng	0		
Ugyoi68TL5V_1EAq33p4AaABAg	0	0	2019-04-15 22:50:04	nire muter	FANTASTIC! OUR LEADER. THE PEOPLE&#39;S POTUS DONALD J TRUMP! TRUMP 2020!👍❤	UCg6WYtVrezsQzKYekcsjhzQ	http://www.youtube.com/channel/UCg6WYtVrezsQzKYekcsjhzQ	0		
Ugxas1EXZe5XgDqU8bF4AaABAg	0	1	2019-04-15 22:50:01	Marcos Cruz	Trump 2020 🇺🇸🇺🇸❤🇺🇸🇺🇸🇺❤🇸	UCvLlFqXqXcwlxbKWKE_mGHg	http://www.youtube.com/channel/UCvLlFqXqXcwlxbKWKE_mGHg	0		
UgxuPs_5zYsoVhlEJVt4AaABAg	0	0	2019-04-15 22:49:20	NwoDispatcher	Make israel grateful again	UCRffWLOA7nI0lHvK8zRLETg	http://www.youtube.com/channel/UCRffWLOA7nI0lHvK8zRLETg	0		
UgxwubrsqI18M63SiVB4AaABAg	0	1	2019-04-15 22:43:18	Glory to God His Love Endures forever	That was one min of awesome!	UCxENIJ1WqXwKQ7fTNBagu-A	http://www.youtube.com/channel/UCxENIJ1WqXwKQ7fTNBagu-A	0		
UgyeXJMZcg0sFmTH5aN4AaABAg	0	2	2019-04-15 22:43:08	Fletch Lives	Hundred percent 100%. Trump 2020	UCtuH9GAiw3XEJ5JisGf8DYA	http://www.youtube.com/channel/UCtuH9GAiw3XEJ5JisGf8DYA	0		
UgyKAz1FmpAd8fjTNqR4AaABAg	0	1	2019-04-15 22:42:47	Ryan Sims	Voted Dem my whole life, sat out last election ... Better believe I&#39;m voting Trump 2020 to stop the rise of the identitarian regressive left.	UCJKzYlU7DOTXLqTRfR01ncw	http://www.youtube.com/channel/UCJKzYlU7DOTXLqTRfR01ncw	0		
UgwbX0hPNKckeEjn6Wh4AaABAg	0	0	2019-04-15 22:35:00	Mxeno skorpion	Don&#39;t worry, as soon as you vote for Trump you&#39;ll immediately be called Rasict and all that, but ignore them because you are the president for America	UC6f-1lZvBgm7A7F7X12Ps0A	http://www.youtube.com/channel/UC6f-1lZvBgm7A7F7X12Ps0A	0		
UgygdlClKf9QIAZarXV4AaABAg	0	0	2019-04-15 22:24:23	Chris Morris	The monster vote will come out bigger than 2016 !!!!! MAGA !!!!	UC0pE4qGdMZ8jaMQA3cm0W0Q	http://www.youtube.com/channel/UC0pE4qGdMZ8jaMQA3cm0W0Q	0		
UgwYOzrJdx3OuN0j4EF4AaABAg	1	0	2019-04-15 22:19:48	Cole Crist	Don&#39;t listen to Prince Harry he is going to shut down fortnite 1 like = 1disagrement	UC8yfpCiAM1tANMazPpI9Emw	http://www.youtube.com/channel/UC8yfpCiAM1tANMazPpI9Emw	0		
UgwYOzrJdx3OuN0j4EF4AaABAg.8tlEp77BO5_8tlFCEPPO_z		0	2019-04-15 22:23:05	Cole Crist	Well trying to	UC8yfpCiAM1tANMazPpI9Emw	http://www.youtube.com/channel/UC8yfpCiAM1tANMazPpI9Emw	1	UgwYOzrJdx3OuN0j4EF4AaABAg	Cole Crist
UgzUsoS9Mw-I5RG8SyR4AaABAg	0	0	2019-04-15 22:14:18	Tohdom	<a href="https://www.youtube.com/watch?v=fXTA36HO65g&amp;t=0m54s">0:54</a> terminator tune?	UCVmfl-TDRJL-G9EkvGCJibw	http://www.youtube.com/channel/UCVmfl-TDRJL-G9EkvGCJibw	0		
